missing_ratio,method,scale,bucket,channel,eval_points,rmse,mae,crps,crps_scaled_by_abs_target,value_type,near_constant,differenced
0.08,linear_interpolation,original,nominal,channel_48,967,4.110268314156046e-06,1.7723515234895304e-06,,,discrete_like,False,False
0.08,linear_interpolation,original,nominal,channel_49,975,3.670225993336927e-06,1.6469796164295611e-06,,,discrete_like,False,False
0.08,linear_interpolation,original,nominal,channel_50,932,0.0009486820552590556,0.0002954148171797331,,,discrete_like,False,False
0.08,linear_interpolation,original,nominal,channel_51,947,0.0008409386749736364,0.0002926559105845918,,,discrete_like,False,False
0.08,linear_interpolation,original,nominal,channel_52,997,0.000914314533867033,0.000286983570818198,,,discrete_like,False,False
0.08,linear_interpolation,original,nominal,channel_53,939,0.17036529073050383,0.0824123190614743,,,discrete_like,False,False
0.08,linear_interpolation,original,nominal,channel_54,936,0.09730437144061355,0.05083179040851756,,,discrete_like,False,False
0.08,linear_interpolation,original,nominal,channel_55,962,0.14107585779264328,0.06960880161570908,,,discrete_like,False,False
0.08,linear_interpolation,original,nominal,channel_56,939,0.11175001551615983,0.06988688462331526,,,discrete_like,False,False
0.08,linear_interpolation,original,nominal,channel_57,911,0.0012914370538512122,0.0006430407517827826,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_58,949,0.0016571705495017337,0.0007036850248925678,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_59,953,0.0018250465935410473,0.0007134930534602962,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_60,979,0.00152560793615701,0.0005671086058066254,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_61,957,0.00012445421097843223,4.023033249714532e-06,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_62,1003,0.0,0.0,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_63,923,0.0,0.0,,,continuous,False,False
0.08,linear_interpolation,original,nominal,channel_64,1033,6.8976426301057975e-06,3.035047739773037e-07,,,discrete_like,False,False
0.08,linear_interpolation,original,nominal,channel_65,1019,1.203114473034205e-05,9.231993213837e-07,,,discrete_like,False,False
0.08,linear_interpolation,original,nominal,channel_66,949,4.391317887332817e-05,1.124147368934559e-05,,,discrete_like,False,False
0.08,linear_interpolation,original,nominal,channel_67,974,3.555117345575221e-05,8.68954942456506e-06,,,discrete_like,False,False
0.08,linear_interpolation,original,nominal,channel_68,1034,4.7014211880393345e-05,1.612605393739918e-05,,,discrete_like,False,False
0.08,linear_interpolation,original,nominal,channel_69,965,1.5455266687521306e-05,1.9134943967038484e-06,,,discrete_like,False,False
0.08,linear_interpolation,original,nominal,channel_70,951,0.007031093280308993,0.006256998964163282,,,discrete_like,False,False
0.08,linear_interpolation,original,nominal,channel_71,989,0.007226677065496735,0.006860971511073253,,,discrete_like,False,False
0.08,linear_interpolation,original,nominal,channel_72,1020,0.007406929647005384,0.006856015675208148,,,discrete_like,False,False
