missing_ratio,method,scale,bucket,group,channels,eval_points,rmse,mae,crps
0.08,csdi,normalized,update,all_channels,76,37580,0.6800665608691173,0.23050839987802024,0.1859545216951887
0.08,csdi,normalized,update,continuous,44,16323,0.42260861125317706,0.0486585918268005,0.04186778848722119
0.08,csdi,normalized,update,discrete_like,32,21257,0.8249171028810575,0.370148726209114,0.296597027512268
0.08,csdi,normalized,update,near_constant,0,0,,,
0.08,csdi,normalized,update,differenced,8,1646,0.19928192702689032,0.007023937947511162,0.006571679156552085
0.08,csdi,normalized,update,non_differenced,68,35934,0.6941587326879042,0.2407453738953191,0.1941713681030085
0.08,csdi,original,all,all_channels,76,74752,0.03085186966630714,0.003785776928194907,0.003299573875037967
0.08,csdi,original,all,continuous,44,43071,0.019161595754573487,0.0015219311376866898,0.0013671255809488368
0.08,csdi,original,all,discrete_like,32,31681,0.041793669312506575,0.006863523907235323,0.005926778839360841
0.08,csdi,original,all,near_constant,0,0,,,
0.08,csdi,original,all,differenced,8,7984,3.350725960024582e-07,1.2049895405498554e-08,1.1525316052293925e-08
0.08,csdi,original,all,non_differenced,68,66768,0.0326444016518517,0.0042384720334600525,0.0036941297371302835
0.08,csdi,original,anomaly_rare,all_channels,76,1710,0.09302240774128573,0.024511381802326124,0.021872586660112176
0.08,csdi,original,anomaly_rare,continuous,44,1290,0.09055883687073393,0.022514077726491662,0.02131238373501773
0.08,csdi,original,anomaly_rare,discrete_like,32,420,0.10021112330327345,0.030645958606674822,0.023593209930045076
0.08,csdi,original,anomaly_rare,near_constant,0,0,,,
0.08,csdi,original,anomaly_rare,differenced,8,0,,,
0.08,csdi,original,anomaly_rare,non_differenced,68,1710,0.09302240774128573,0.024511381802326124,0.021872586660112176
0.08,csdi,original,held,all_channels,76,37172,0.020186115029422157,0.0014900908922127964,0.0013221504692440265
0.08,csdi,original,held,continuous,44,26748,0.020381033598459688,0.001600080876771885,0.0014673661806013925
0.08,csdi,original,held,discrete_like,32,10424,0.01967712174749699,0.001207856423008412,0.0009495267310066093
0.08,csdi,original,held,near_constant,0,0,,,
0.08,csdi,original,held,differenced,8,6338,3.494222799363628e-07,1.2693212311186498e-08,1.2192634527543255e-08
0.08,csdi,original,held,non_differenced,68,30834,0.022163879172696972,0.0017963799116480002,0.0015939190492904366
0.08,csdi,original,nominal,all_channels,76,73042,0.02777661902891142,0.003300565890259144,0.0028647575791313938
0.08,csdi,original,nominal,continuous,44,41781,0.011193657502200296,0.0008737927638425587,0.0007513101870670859
0.08,csdi,original,nominal,discrete_like,32,31261,0.04043831991671285,0.00654400045712557,0.005689425551615923
0.08,csdi,original,nominal,near_constant,0,0,,,
0.08,csdi,original,nominal,differenced,8,7984,3.350725960024582e-07,1.2049895405498554e-08,1.1525316052293925e-08
0.08,csdi,original,nominal,non_differenced,68,65058,0.029431700563631903,0.003705614029787935,0.003216322836189122
0.08,csdi,original,update,all_channels,76,37580,0.038604228608101795,0.006056539048472811,0.0052555287126875615
0.08,csdi,original,update,continuous,44,16323,0.016974995565223035,0.0013938695335833815,0.0012028643794384335
0.08,csdi,original,update,discrete_like,32,21257,0.04912629173455628,0.009636948066280598,0.008367521934291057
0.08,csdi,original,update,near_constant,0,0,,,
0.08,csdi,original,update,differenced,8,1646,2.7285981775900277e-07,9.572773086011621e-09,8.95577506020534e-09
0.08,csdi,original,update,non_differenced,68,35934,0.039478485618665196,0.006333965650493231,0.00549626410312219
0.08,forward_fill,normalized,all,all_channels,76,74752,0.6869429255205428,0.21933339593929393,
0.08,forward_fill,normalized,all,continuous,44,43071,0.2520029418696706,0.030309025137763405,
0.08,forward_fill,normalized,all,discrete_like,32,31681,1.0134588786285192,0.4763160882404435,
0.08,forward_fill,normalized,all,near_constant,0,0,,,
0.08,forward_fill,normalized,all,differenced,8,7984,0.11025031665232023,0.0021739341096829144,
0.08,forward_fill,normalized,all,non_differenced,68,66768,0.7258546269500031,0.24530094241736147,
0.08,forward_fill,normalized,anomaly_rare,all_channels,76,1710,1.1676658386382304,0.07951051534442177,
0.08,forward_fill,normalized,anomaly_rare,continuous,44,1290,1.0023923906632102,0.04984094830908516,
0.08,forward_fill,normalized,anomaly_rare,discrete_like,32,420,1.5700384072244034,0.1706384712386699,
0.08,forward_fill,normalized,anomaly_rare,near_constant,0,0,,,
0.08,forward_fill,normalized,anomaly_rare,differenced,8,0,,,
0.08,forward_fill,normalized,anomaly_rare,non_differenced,68,1710,1.1676658386382304,0.07951051534442177,
0.08,forward_fill,normalized,held,all_channels,76,37172,0.20219463579746422,0.007572630727797075,
0.08,forward_fill,normalized,held,continuous,44,26748,0.235490734116313,0.009022195939139936,
0.08,forward_fill,normalized,held,discrete_like,32,10424,0.059057416180466504,0.003853044170525501,
0.08,forward_fill,normalized,held,near_constant,0,0,,,
0.08,forward_fill,normalized,held,differenced,8,6338,0.00021136146412665442,1.3619702034293382e-05,
0.08,forward_fill,normalized,held,non_differenced,68,30834,0.22200493028433657,0.009126402923466935,
0.08,forward_fill,normalized,nominal,all_channels,76,73042,0.6715789382548957,0.22260681560837933,
0.08,forward_fill,normalized,nominal,continuous,44,41781,0.18558838186554652,0.029705971423778614,
0.08,forward_fill,normalized,nominal,discrete_like,32,31261,1.003882478421669,0.48042294979720257,
0.08,forward_fill,normalized,nominal,near_constant,0,0,,,
0.08,forward_fill,normalized,nominal,differenced,8,7984,0.11025031665232023,0.0021739341096829144,
0.08,forward_fill,normalized,nominal,non_differenced,68,65058,0.7105463456871002,0.2496586174757222,
0.08,forward_fill,normalized,update,all_channels,76,37580,0.9477442235202178,0.42879510876349536,
0.08,forward_fill,normalized,update,continuous,44,16323,0.27694063333785146,0.06519109973888955,
