method,method_label,mask_family,mask_label,channel_index,channel,normalized_rmse,normalized_mae,evaluation_points
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,11,channel_12,0.9370399483061989,0.8538845517655473,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,12,channel_13,0.8858835786350269,0.8091975388345207,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,13,channel_14,1.3223043400417003,1.1093985090591667,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,14,channel_15,1.2645291754800034,1.2052016615372352,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,15,channel_16,1.1620877355980261,1.0549854559768383,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,16,channel_17,0.9040363405247086,0.8216296850498677,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,17,channel_18,0.9307707891818336,0.840655748807627,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,18,channel_19,0.9323479957563516,0.8261243721372241,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,19,channel_20,0.9084899450377887,0.828003616228857,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,20,channel_21,1.331719399079027,1.1049057932310877,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,21,channel_22,1.215842505157706,1.1535034751496889,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,22,channel_23,1.2636465572576872,1.2041895701386094,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,23,channel_24,1.1631544376464444,1.0560807230033158,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,24,channel_25,0.9508266799788886,0.8583074360654507,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,25,channel_26,0.9337555423076287,0.8507028516941587,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,26,channel_27,0.9319802157558663,0.8492504157418356,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,27,channel_28,0.9637117749512456,0.8625731177738852,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,28,channel_29,1.338051602213533,1.14644485841756,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,29,channel_30,1.2952653587608802,1.1659456072718053,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,30,channel_31,1.2156513601951484,1.1533699801368085,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,31,channel_32,1.1620431294313056,1.0551467881891219,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,32,channel_33,1.159451688562417,1.0538414977445256,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,33,channel_34,0.9472493815449963,0.8640306141712406,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,34,channel_35,0.9702113089102282,0.8694847656468662,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,35,channel_36,0.9183029723065586,0.8254354499362163,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,36,channel_37,0.9205039702636587,0.8307235739903785,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,37,channel_38,1.2967108793586197,1.1676369545405032,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,38,channel_39,1.226158942848665,1.1658128284638454,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,39,channel_40,1.1600049657222404,1.0544402522351917,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,40,channel_41,1.0174129681478608,0.8905237069448798,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,41,channel_42,0.9762475077754759,0.8361923288968138,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,42,channel_43,1.0327251059470681,0.9053182202627718,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,43,channel_44,0.9901226944324949,0.8467296833828604,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,44,channel_45,0.9607734671239261,0.8382320490099372,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,45,channel_46,1.0351927186269458,0.8931843631420854,6144
