channel_id,channel,horizon_steps,window_minutes,missing_ratio,method,spectral_cosine,dominant_peak_preserved,high_frequency_inflation
12,channel_12,96,48.0,0.1,linear,0.9883692392856023,False,-0.0017309675321487347
12,channel_12,96,48.0,0.1,linear,1.0000000000000002,True,0.0
12,channel_12,96,48.0,0.1,linear,1.0000000000000002,True,0.0
12,channel_12,96,48.0,0.1,linear,0.999576553095524,True,-0.001262579275328038
12,channel_12,96,48.0,0.1,linear,0.9858174077221984,True,-0.0006998571918910984
12,channel_12,96,48.0,0.1,linear,1.0000000000000007,True,0.0
12,channel_12,96,48.0,0.1,linear,0.9599721639458523,False,-0.0011370823958792645
12,channel_12,96,48.0,0.5,zero,0.931659835862025,True,-0.047807074746629874
12,channel_12,96,48.0,0.5,zero,0.6889479614514883,False,-0.0648723308562449
12,channel_12,96,48.0,0.5,zero,0.7613469496235564,False,-0.06745560520620719
12,channel_12,96,48.0,0.5,zero,0.950169076207579,False,-0.038106268587213235
12,channel_12,96,48.0,0.5,zero,0.853892943864021,False,-0.05906794302184684
12,channel_12,96,48.0,0.5,zero,0.758381962837442,False,-0.03850967940988106
12,channel_12,96,48.0,0.5,zero,0.7464304627820201,False,-0.03108970592302922
12,channel_12,96,48.0,0.5,zero,0.7369805495017069,False,-0.06482932696895718
12,channel_12,96,48.0,0.5,zero,0.8673475834231364,False,-0.052279062046171026
12,channel_12,96,48.0,0.5,zero,0.7487415811988964,False,-0.06868720687840806
12,channel_12,96,48.0,0.5,zero,0.8046507836038944,False,-0.04208345863002514
12,channel_12,96,48.0,0.5,zero,0.8263873744665758,False,-0.0648688788697136
12,channel_12,96,48.0,0.5,zero,0.8611244747789102,True,-0.06593443194254367
12,channel_12,96,48.0,0.5,zero,0.84335655784905,True,-0.0212249337537357
12,channel_12,96,48.0,0.5,zero,0.8564913055392899,False,-0.04766979242481533
12,channel_12,96,48.0,0.5,zero,0.8131881127145522,False,-0.05524998053866584
